time,GD-201,GD-202,PT-201,TEMP,Chiller No. 1 Dispenser COOLER,Chiller No. 2 Dispenser COOLER,GD-203,T.T1-1A,P.T1-1A,T.T2-1A,P.T2-1A,T.T1A(OIL),GD-204,T.T1-1B,P.T1-1B,T.T2-1B,P.T2-1B,T.T1B(OIL),PT-202,PT-204,PT-203,PT-205,GD-205,GD-206
10:37:56,0,0,11.48,21,5,-38,0,22,6.6,21,88,19,3,21,8.4,27,52,31,44.59,44.73,86.08,86.41,0,0
10:37:57,0,0,11.46,21,5,-38,0,22,6.6,22,50.4,19,3,21,33,28,52.1,31,44.61,44.67,86.04,86.38,0,0
10:37:58,0,0,11.46,21,5,-38,0,22,6.6,22,50.4,19,3,21,8.4,28,67,31,44.61,44.67,86.04,86.38,0,0
10:37:59,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,87,44.82,86.14,86.5,0,0
10:38:00,0,0,11.51,21,5,-38,0,22,6.6,22,50.3,19,3,21,8.4,27,52,31,44.67,67,86.14,86.5,0,0
10:38:01,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,120,86.41,0,0
10:38:02,0,0,11.47,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,100,0,0
10:38:03,0,0,18,21,5,-38,0,22,6.6,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:38:04,0,0,11.47,21,5,-38,0,22,32,21,50.3,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:38:05,0,0,11.47,21,5,-38,0,22,6.6,21,88,19,3,21,8.4,27,52.1,31,44.61,44.75,86.11,86.41,0,0
10:38:06,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,23,28,52,31,44.69,44.81,86.11,86.48,0,0
10:38:07,0,0,11.51,20.9,5,-39,0,22,6.5,22,50.3,19,3,21,8.4,28,76,31,44.69,44.81,86.11,86.48,0,0
