년월일,호기,총량(kw),평균(kw),최대(kw),최소(kw),최대(시간별_kw),최소(시간별_kw),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-20,2,3724.56,155,771.12,0,771.12,2.16,0,0,0,0,0,0,0,2.16,93.6,244.8,357.84,434.88,771.12,725.04,610.56,367.2,111.6,5.76,0,0,0,0,0,0
2020-01-20,3,6924.6,289,1479.6,0,1479.6,5.4,0,0,0,0,0,0,0,5.4,111.6,372.6,684,867.6,1479.6,1387.8,1195.2,703.8,106.2,10.8,0,0,0,0,0,0
2020-01-20,4,9383.4,391,1971,0,1971,10.8,0,0,0,0,0,0,0,10.8,205.2,588.6,889.2,1116,1971,1816.2,1562.4,1000.8,208.8,14.4,0,0,0,0,0,0
2020-01-21,1,4656.24,194,772.56,0,772.56,2.88,0,0,0,0,0,0,0,2.88,93.6,433.44,645.12,745.2,772.56,730.08,622.08,440.64,159.84,10.8,0,0,0,0,0,0
2020-01-21,2,4682.16,195,790.56,0,790.56,5.04,0,0,0,0,0,0,0,5.04,158.4,447.84,637.2,748.8,790.56,761.04,622.08,379.44,125.28,6.48,0,0,0,0,0,0
2020-01-21,3,8339.4,347,1506.6,0,1506.6,7.2,0,0,0,0,0,0,0,7.2,109.8,529.2,1242,1449,1506.6,1432.8,1211.4,745.2,97.2,9,0,0,0,0,0,0
2020-01-21,4,11779.2,491,1985.4,0,1985.4,12.6,0,0,0,0,0,0,0,12.6,367.2,1128.6,1623.6,1909.8,1985.4,1886.4,1585.8,1047.6,219.6,12.6,0,0,0,0,0,0
2020-01-22,1,391.68,16,73.44,0,73.44,14.4,0,0,0,0,0,0,0,0,0,14.4,44.64,54,59.04,51.84,73.44,72,22.32,0,0,0,0,0,0,0
2020-01-22,2,383.76,16,74.16,0,74.16,3.6,0,0,0,0,0,0,0,0,3.6,18.72,42.48,50.4,57.6,49.68,74.16,68.4,18.72,0,0,0,0,0,0,0
2020-01-22,3,768.6,32,135,0,135,9,0,0,0,0,0,0,0,0,9,39.6,88.2,104.4,115.2,100.8,133.2,135,43.2,0,0,0,0,0,0,0
2020-01-22,4,1009.8,42,180,0,180,1.8,0,0,0,0,0,0,0,0,12.6,54,117,135,149.4,131.4,180,174.6,54,1.8,0,0,0,0,0,0
2020-01-23,1,2664.72,111,673.2,0,673.2,6.48,0,0,0,0,0,0,0,0,28.08,68.4,128.88,167.76,408.96,673.2,595.44,416.16,171.36,6.48,0,0,0,0,0,0
2020-01-23,2,2677.68,112,711.36,0,711.36,5.04,0,0,0,0,0,0,0,0,28.08,69.12,126,171.36,432.72,711.36,602.64,375.84,155.52,5.04,0,0,0,0,0,0
2020-01-23,3,4995,208,1339.2,0,1339.2,1.8,0,0,0,0,0,0,0,1.8,61.2,129.6,250.2,316.8,804.6,1339.2,1164.6,738,180,9,0,0,0,0,0,0
2020-01-23,4,6708.6,280,1762.2,0,1762.2,10.8,0,0,0,0,0,0,0,0,79.2,174.6,324,423,1150.2,1762.2,1521,955.8,307.8,10.8,0,0,0,0,0,0
2020-01-24,1,588.24,25,178.56,0,178.56,3.6,0,0,0,0,0,0,0,0,81.36,178.56,18.72,37.44,64.8,74.16,66.96,62.64,3.6,0,0,0,0,0,0,0
2020-01-24,2,644.4,27,172.08,0,172.08,1.44,0,0,0,0,0,0,0,1.44,118.08,172.08,20.16,34.56,74.16,84.24,69.12,59.76,10.8,0,0,0,0,0,0,0
2020-01-24,3,903.6,38,210.6,0,210.6,3.6,0,0,0,0,0,0,0,3.6,120.6,210.6,23.4,54,97.2,133.2,126,120.6,14.4,0,0,0,0,0,0,0
2020-01-24,4,1387.8,58,376.2,0,376.2,7.2,0,0,0,0,0,0,0,7.2,262.8,376.2,23.4,61.2,126,174.6,176.4,162,18,0,0,0,0,0,0,0
2020-01-25,1,2399.76,100,492.48,0,492.48,2.16,0,0,0,0,0,0,0,0,57.6,249.12,443.52,492.48,333.36,307.44,293.76,169.2,51.12,2.16,0,0,0,0,0,0
2020-01-25,2,2356.56,98,457.2,0,457.2,0.72,0,0,0,0,0,0,0,0.72,56.88,270.72,421.2,457.2,330.48,309.6,299.52,163.44,45.36,1.44,0,0,0,0,0,0
2020-01-25,3,4512.6,188,939.6,0,939.6,1.8,0,0,0,0,0,0,0,1.8,108,446.4,788.4,939.6,646.2,588.6,568.8,322.2,97.2,5.4,0,0,0,0,0,0
2020-01-25,4,5985,249,1206,0,1206,3.6,0,0,0,0,0,0,0,3.6,142.2,655.2,1072.8,1206,847.8,775.8,743.4,412.2,120.6,5.4,0,0,0,0,0,0
2020-01-26,1,1402.56,58,343.44,0,343.44,2.88,0,0,0,0,0,0,0,2.88,79.2,343.44,252,222.48,180,155.52,76.32,52.56,33.84,4.32,0,0,0,0,0,0
2020-01-26,2,1436.4,60,364.32,0,364.32,3.6,0,0,0,0,0,0,0,5.04,92.16,364.32,278.64,211.68,185.04,158.4,60.48,48.24,28.8,3.6,0,0,0,0,0,0
2020-01-26,3,2520,105,538.2,0,538.2,9,0,0,0,0,0,0,0,9,151.2,538.2,435.6,421.2,325.8,297,126,127.8,77.4,10.8,0,0,0,0,0,0
2020-01-26,4,3456,144,876.6,0,876.6,12.6,0,0,0,0,0,0,0,14.4,223.2,876.6,576,523.8,439.2,381.6,142.2,163.8,102.6,12.6,0,0,0,0,0,0
2020-01-27,1,293.04,12,67.68,0,67.68,11.52,0,0,0,0,0,0,0,0,0,26.64,42.48,67.68,54,54,36.72,11.52,0,0,0,0,0,0,0,0
2020-01-27,2,292.32,12,63.36,0,63.36,1.44,0,0,0,0,0,0,0,0,4.32,30.24,43.2,63.36,51.12,54.72,33.12,10.8,1.44,0,0,0,0,0,0,0
2020-01-27,3,604.8,25,136.8,0,136.8,5.4,0,0,0,0,0,0,0,0,12.6,57.6,86.4,136.8,102.6,108,72,23.4,5.4,0,0,0,0,0,0,0
2020-01-27,4,777.6,32,172.8,0,172.8,1.8,0,0,0,0,0,0,0,0,14.4,81,115.2,172.8,133.2,142.2,91.8,25.2,1.8,0,0,0,0,0,0,0
2020-01-28,1,716.4,30,138.24,0,138.24,1.44,0,0,0,0,0,0,0,0,1.44,36,82.08,126,105.84,130.32,138.24,64.8,30.24,1.44,0,0,0,0,0,0
2020-01-28,2,730.8,30,134.64,0,134.64,2.16,0,0,0,0,0,0,0,0,7.2,35.28,88.56,126,108,129.6,134.64,68.4,30.96,2.16,0,0,0,0,0,0
2020-01-28,3,1328.4,55,244.8,0,244.8,3.6,0,0,0,0,0,0,0,0,12.6,57.6,140.4,243,201.6,244.8,244.8,122.4,57.6,3.6,0,0,0,0,0,0
2020-01-28,4,1729.8,72,316.8,0,316.8,7.2,0,0,0,0,0,0,0,0,14.4,72,183.6,313.2,261,316.8,309.6,171,81,7.2,0,0,0,0,0,0
2020-01-29,1,1231.92,51,215.28,0,215.28,15.12,0,0,0,0,0,0,0,0,15.12,132.48,159.84,197.28,114.48,146.16,215.28,183.6,67.68,0,0,0,0,0,0,0
2020-01-29,2,1225.44,51,252,0,252,0.72,0,0,0,0,0,0,0,1.44,17.28,141.12,149.76,182.88,118.08,144,252,161.28,56.88,0.72,0,0,0,0,0,0
2020-01-29,3,2311.2,96,417.6,0,417.6,1.8,0,0,0,0,0,0,0,1.8,28.8,230.4,289.8,338.4,248.4,295.2,417.6,331.2,127.8,1.8,0,0,0,0,0,0
2020-01-29,4,3034.8,126,592.2,0,592.2,1.8,0,0,0,0,0,0,0,1.8,43.2,304.2,365.4,426.6,349.2,385.2,592.2,414,151.2,1.8,0,0,0,0,0,0
2020-01-30,1,531.36,22,135.36,0,135.36,3.6,0,0,0,0,0,0,0,0,0,3.6,23.04,28.8,37.44,87.84,135.36,122.4,85.68,7.2,0,0,0,0,0,0
2020-01-30,2,568.8,24,164.16,0,164.16,5.76,0,0,0,0,0,0,0,0,0,8.64,21.6,25.92,30.24,84.24,164.16,123.12,105.12,5.76,0,0,0,0,0,0
2020-01-30,3,954,40,243,0,243,12.6,0,0,0,0,0,0,0,0,0,21.6,55.8,59.4,61.2,162,243,190.8,147.6,12.6,0,0,0,0,0,0
2020-01-30,4,1238.4,52,351,0,351,16.2,0,0,0,0,0,0,0,0,0,27,75.6,73.8,66.6,180,351,241.2,207,16.2,0,0,0,0,0,0
2020-01-31,1,2027.52,84,373.68,0,373.68,0.72,0,0,0,0,0,0,0,0.72,65.52,228.96,305.28,373.68,221.76,316.08,249.84,190.8,60.48,14.4,0,0,0,0,0,0
2020-01-31,2,3656.88,152,744.48,0,744.48,0.72,0,0,0,0,0,0,0,0.72,103.68,439.92,647.28,744.48,326.16,717.12,353.52,249.84,61.2,12.96,0,0,0,0,0,0
2020-01-31,3,7399.8,308,1521,0,1521,1.8,0,0,0,0,0,0,0,1.8,104.4,660.6,1144.8,1521,973.8,1371.6,1006.2,462.6,127.8,25.2,0,0,0,0,0,0
2020-01-31,4,10166.4,424,1992.6,0,1992.6,3.6,0,0,0,0,0,0,0,3.6,379.8,963,1715.4,1992.6,1155.6,1825.2,1121.4,826.2,153,30.6,0,0,0,0,0,0
2020-02-01,1,4164.48,174,665.28,0,665.28,3.6,0,0,0,0,0,0,0,3.6,112.32,406.08,563.04,634.32,665.28,628.56,545.04,411.12,180,15.12,0,0,0,0,0,0
2020-02-01,2,4777.92,199,777.6,0,777.6,7.92,0,0,0,0,0,0,0,7.92,184.32,460.8,631.44,736.56,777.6,740.16,632.88,426.24,165.6,14.4,0,0,0,0,0,0
2020-02-01,3,8850.6,369,1490.4,0,1490.4,12.6,0,0,0,0,0,0,0,12.6,138.6,806.4,1234.8,1432.8,1490.4,1416.6,1195.2,833.4,261,28.8,0,0,0,0,0,0
2020-02-01,4,12038.4,502,1962,0,1962,19.8,0,0,0,0,0,0,0,19.8,437.4,1177.2,1623.6,1879.2,1962,1852.2,1562.4,1112.4,378,34.2,0,0,0,0,0,0
2020-02-02,1,3167.28,132,559.44,0,559.44,5.04,0,0,0,0,0,0,0,5.04,106.56,352.8,431.28,496.08,559.44,391.68,327.6,337.68,141.12,18,0,0,0,0,0,0
2020-02-02,2,3603.6,150,634.32,0,634.32,6.48,0,0,0,0,0,0,0,6.48,156.96,405.36,490.32,579.6,634.32,432,372.24,367.2,142.56,16.56,0,0,0,0,0,0
2020-02-02,3,6670.8,278,1225.8,0,1225.8,10.8,0,0,0,0,0,0,0,10.8,167.4,720,936,1074.6,1225.8,862.2,707.4,687.6,248.4,30.6,0,0,0,0,0,0
2020-02-02,4,8946,373,1602,0,1602,18,0,0,0,0,0,0,0,18,374.4,1011.6,1227.6,1440,1602,1089,914.4,903.6,327.6,37.8,0,0,0,0,0,0
2020-02-03,1,4314.24,180,718.56,0,718.56,0.72,0,0,0,0,0,0,0,0.72,115.2,380.88,519.12,655.2,718.56,677.52,578.88,431.28,210.96,25.92,0,0,0,0,0,0
2020-02-03,2,4925.52,205,830.16,0,830.16,1.44,0,0,0,0,0,0,0,1.44,172.8,430.56,622.08,768.96,830.16,786.24,659.52,442.08,190.08,21.6,0,0,0,0,0,0
